Periode,Data,Ujian
1,3980,3984
2,4039,4043
3,3878,3882
4,3809,3813
5,3829,3833
6,3798,3802
7,3730,3734
8,3705,3709
9,3701,3705
10,3782,3786
11,3827,3831
12,3759,3763
13,3747,3751
14,3666,3670
15,3617,3621
16,3638,3642
17,3570,3574
18,3598,3602
19,3481,3485
20,3541,3545
21,3616,3620
22,3489,3493
23,3531,3535
24,3703,3707
25,3688,3692
26,3553,3557
27,3586,3590
28,3630,3634
29,3629,3633
30,3604,3608
31,3658,3662
32,3590,3594
33,3524,3528
34,3923,3927
35,3934,3938
36,3781,3785
37,3749,3753
38,3778,3782
39,3783,3787
40,3696,3700
41,3745,3749
42,3652,3656
43,3649,3653
44,3584,3588
45,3458,3462
46,3404,3408
47,3344,3348
48,3410,3414
49,3316,3320
50,3399,3403
51,3415,3419
52,3460,3464
53,3542,3546
54,3364,3368
55,3633,3637
56,3550,3554
57,3648,3652
58,3584,3588
59,3461,3465
60,3487,3491
61,3421,3425
62,3457,3461
63,3317,3321
64,3254,3258
65,3279,3283
66,3136,3140
67,3127,3131
68,3127,3131
69,3096,3100
70,3128,3132
71,3155,3159
72,3169,3173
73,3114,3118
74,3112,3116
75,3084,3088
76,3027,3031
77,2989,2993
78,2993,2997
79,3096,3100
80,2980,2984
81,3062,3066
82,3011,3015
83,2941,2945
84,2774,2778
85,2697,2701
86,2670,2674
87,2488,2492
88,2472,2476
89,2322,2326
90,2343,2347
91,2525,2529
92,2554,2558
93,2729,2733
94,2605,2609
95,2678,2682
96,2713,2717
97,2503,2507
98,2382,2386
99,2554,2558
100,2499,2503
101,2550,2554
102,2472,2476
103,2448,2452
104,2477,2481
105,2477,2481
106,2431,2435
107,2532,2536
108,2425,2429
109,2567,2571
110,2684,2688
111,2626,2630
112,2643,2647
113,2621,2625
114,2550,2554
115,2446,2450
116,2519,2523
117,2616,2620
118,2463,2467
119,2484,2488
120,2355,2359
121,2356,2360
122,2302,2306
123,2272,2276
124,2324,2328
125,2269,2273
126,2299,2303
127,2284,2288
128,2279,2283
129,2326,2330
130,2351,2355
131,2335,2339
132,2360,2364
133,2269,2273
134,2275,2279
135,2226,2230
136,2208,2212
137,2191,2195
138,2149,2153
139,2126,2130
140,2152,2156
141,2187,2191
142,2141,2145
143,2089,2093
144,2107,2111
145,2031,2035
146,1984,1988
147,1983,1987
148,1981,1985
149,2016,2020
150,1951,1955
151,1951,1955
